id,track,driver,shipment_start_timestamp,shipment_end_timestamp,start_location,end_location,shipment_distance,consumed_fuel
9414,6201,3854,2022-07-24 00:04:08.053394,2022-07-24 14:10:35.994442,Hamburg,Stockholm,974.03534,177.07
9440,6822,1594,2022-07-11 22:22:18.279556,2022-07-12 11:46:06.164658,Hamburg,Warsaw,904.4566,161.98
9583,6816,1953,2022-07-07 23:23:01.666288,2022-07-08 15:18:06.501216,Hamburg,Budapest,1113.695,216.51
9305,6373,7447,2022-07-28 18:12:33.695788,2022-07-29 09:38:32.256313,Hamburg,Budapest,1113.695,199.82
9088,4980,6651,2022-07-14 08:35:24.967205,2022-07-15 00:27:38.303481,Hamburg,Budapest,1113.695,212.13
9033,8835,8858,2022-07-03 18:55:41.474551,2022-07-04 10:24:45.071354,Hamburg,Budapest,1113.695,210.52
7903,3612,3883,2022-07-11 07:30:04.490908,2022-07-12 00:05:52.55476,Hamburg,Budapest,1113.695,205.66
9336,6289,1220,2022-07-24 21:49:42.881371,2022-07-25 19:24:16.538622,Hamburg,Rome,1573.508,307.08
9365,7832,9483,2022-07-01 15:36:13.066106,2022-07-02 17:52:15.107233,Hamburg,Barcelona,1769.4066,332.14
9398,8707,9046,2022-07-16 12:58:57.537025,2022-07-17 01:22:28.209818,Hamburg,Paris,895.23004,161.38
9338,9554,1023,2022-07-28 20:10:25.021924,2022-07-29 14:56:12.950505,Hamburg,Minsk,1386.1572,261.27
9311,9730,3052,2022-07-16 13:23:58.236934,2022-07-16 18:00:12.21906,Hamburg,Berlin,306.79266,55.8
9230,2249,1367,2022-07-14 18:29:50.927297,2022-07-15 07:25:38.959044,Hamburg,Stockholm,974.03534,190.56
9223,2065,7517,2022-07-24 01:04:17.9964,2022-07-24 15:32:09.699666,Hamburg,Stockholm,974.03534,173.87
9158,7230,9348,2022-07-12 11:20:55.833945,2022-07-13 09:03:52.780817,Hamburg,Rome,1573.508,303.39
9120,5540,6955,2022-07-12 05:23:22.253914,2022-07-13 04:54:02.355056,Hamburg,Barcelona,1769.4066,320.65
9197,9313,8377,2022-07-27 08:21:30.286669,2022-07-28 23:22:26.798862,Hamburg,Ankara,2752.1785,497.09
9180,8425,9421,2022-07-03 06:41:01.344426,2022-07-04 04:29:26.048465,Hamburg,Saint Petersburg,1705.7284,323.81
9140,3622,9711,2022-07-09 11:14:02.29212,2022-07-10 07:18:21.503952,Hamburg,Minsk,1386.1572,251.27
9146,6534,7486,2022-07-13 08:52:49.949649,2022-07-14 14:14:32.85069,Hamburg,Moscow,2140.3328,409.62
7569,6914,6289,2022-07-14 00:58:28.860243,2022-07-14 17:39:21.889271,Hamburg,Budapest,1113.695,218.58
7563,8489,8620,2022-07-25 10:01:53.438495,2022-07-26 02:09:45.741843,Hamburg,Budapest,1113.695,214.94
6790,5366,5118,2022-07-26 12:32:14.230392,2022-07-27 03:12:35.970176,Hamburg,Budapest,1113.695,217.06
6701,4498,3320,2022-07-14 13:53:18.076304,2022-07-15 04:37:48.086919,Hamburg,Budapest,1113.695,206.64
9071,1252,1357,2022-07-06 04:06:09.037775,2022-07-07 19:00:42.272244,Hamburg,Ankara,2752.1785,518.32
9040,3335,9724,2022-07-05 22:04:35.243957,2022-07-06 10:31:35.559925,Hamburg,Paris,895.23004,163.06
6415,7303,8078,2022-07-10 07:45:15.278177,2022-07-11 00:13:13.398068,Hamburg,Budapest,1113.695,201.71
5813,2844,2133,2022-07-13 00:54:23.456402,2022-07-13 16:14:46.469799,Hamburg,Budapest,1113.695,208.48
4876,7621,7897,2022-07-02 05:43:57.189513,2022-07-02 22:16:46.825426,Hamburg,Budapest,1113.695,210.58
4731,1329,7336,2022-07-08 09:43:34.615454,2022-07-09 02:08:25.496305,Hamburg,Budapest,1113.695,215.76
4671,9878,9746,2022-07-19 22:49:48.595227,2022-07-20 12:50:28.306659,Hamburg,Budapest,1113.695,202.9
4532,7386,3545,2022-07-04 00:55:50.502918,2022-07-04 16:09:14.980503,Hamburg,Budapest,1113.695,208.42
4495,3457,3501,2022-07-07 02:31:59.41541,2022-07-07 18:59:51.795267,Hamburg,Budapest,1113.695,210.31
9022,9241,8074,2022-07-30 18:06:37.820649,2022-08-01 11:42:09.13582,Hamburg,Ankara,2752.1785,496.94
9017,8264,5580,2022-07-30 13:23:19.799199,2022-07-31 01:42:03.828212,Hamburg,Paris,895.23004,168.67
8834,8570,7125,2022-07-21 18:56:08.75853,2022-07-22 18:19:15.563225,Hamburg,Barcelona,1769.4066,350.52
8844,9917,3408,2022-07-30 06:22:23.906477,2022-07-31 09:35:30.2044,Hamburg,Madrid,2145.1428,389.18
8872,7769,1568,2022-07-08 03:16:00.42119,2022-07-09 02:18:24.453309,Hamburg,Saint Petersburg,1705.7284,317.06
8891,8962,4161,2022-07-22 20:34:27.320911,2022-07-23 09:15:03.832878,Hamburg,Vienna,892.74927,170.53
8789,5634,9095,2022-07-11 03:11:35.017602,2022-07-12 04:46:58.663868,Hamburg,Barcelona,1769.4066,345.95
8738,5034,3758,2022-07-11 04:03:13.145191,2022-07-12 13:41:35.763837,Hamburg,Istanbul,2384.919,457.13
8755,8347,7147,2022-07-05 15:29:18.979613,2022-07-07 03:39:33.663087,Hamburg,Ankara,2752.1785,500.11
8734,8604,3674,2022-07-24 22:52:55.617144,2022-07-26 04:37:34.130485,Hamburg,Madrid,2145.1428,385.73
8787,1169,8607,2022-07-18 21:56:21.927467,2022-07-19 16:04:06.502486,Hamburg,Minsk,1386.1572,263.11
8806,7285,6580,2022-07-04 00:22:51.415245,2022-07-04 13:21:18.975731,Hamburg,London,865.4814,166.69
8814,5109,2765,2022-07-16 03:47:19.095269,2022-07-17 05:48:10.509198,Hamburg,Bucharest,1857.4374,366.65
8722,1827,6371,2022-07-18 09:55:04.050879,2022-07-18 22:20:03.276839,Hamburg,London,865.4814,159.62
8719,8122,7858,2022-07-24 12:22:25.856224,2022-07-24 23:47:36.075803,Hamburg,London,865.4814,164.76
8560,7103,5617,2022-07-17 10:35:20.651142,2022-07-17 23:19:01.772002,Hamburg,Paris,895.23004,166.73
8543,6532,8818,2022-07-27 22:01:25.74453,2022-07-28 09:22:14.644691,Hamburg,Paris,895.23004,170.33
8557,9704,5752,2022-07-15 10:46:05.89882,2022-07-15 22:43:56.876545,Hamburg,London,865.4814,168.66
8547,9699,6166,2022-07-21 09:43:19.187251,2022-07-21 22:02:06.526168,Hamburg,London,865.4814,169.4
8563,2645,5635,2022-07-23 06:39:56.583081,2022-07-24 06:25:45.363799,Hamburg,Bucharest,1857.4374,341.97
8556,7756,3219,2022-07-24 00:43:06.008684,2022-07-24 13:35:51.090657,Hamburg,Warsaw,904.4566,177.91
4212,3016,2757,2022-07-15 11:35:15.92884,2022-07-16 03:07:18.955463,Hamburg,Budapest,1113.695,213.72
8527,8561,4412,2022-07-25 22:24:11.301623,2022-07-27 07:36:50.012835,Hamburg,Istanbul,2384.919,439.84
8538,2337,6920,2022-07-27 11:21:06.395395,2022-07-28 15:17:02.694154,Hamburg,Moscow,2140.3328,419.94
8499,7488,1371,2022-07-24 02:05:32.512853,2022-07-25 07:29:17.679623,Hamburg,Moscow,2140.3328,391.65
8420,8031,7297,2022-07-19 18:29:42.093681,2022-07-19 22:44:56.064874,Hamburg,Berlin,306.79266,57.63
8425,3614,1923,2022-07-18 19:07:52.279021,2022-07-19 06:52:19.132702,Hamburg,Vienna,892.74927,159.74
3203,3176,3557,2022-07-16 14:57:58.502647,2022-07-17 05:19:10.51621,Hamburg,Budapest,1113.695,206.81
2713,2704,6132,2022-07-14 12:40:44.777783,2022-07-15 04:04:08.409125,Hamburg,Budapest,1113.695,211.26
8340,1812,4893,2022-07-20 15:45:24.613996,2022-07-21 12:38:39.389495,Hamburg,Rome,1573.508,280.95
8306,3563,4717,2022-07-17 16:15:54.353674,2022-07-19 02:08:38.313515,Hamburg,Istanbul,2384.919,448.36
8319,8244,1534,2022-07-02 14:50:06.09343,2022-07-04 01:52:40.110462,Hamburg,Ankara,2752.1785,504.58
8271,6210,7143,2022-07-28 00:37:38.708109,2022-07-29 07:22:34.044418,Hamburg,Madrid,2145.1428,424.36
8281,5107,9868,2022-07-08 16:07:08.772434,2022-07-09 10:54:58.177502,Hamburg,Minsk,1386.1572,270.3
8278,2125,4966,2022-07-03 12:04:48.752249,2022-07-04 01:07:49.45246,Hamburg,London,865.4814,156.52
2251,9878,2609,2022-07-27 12:56:42.460205,2022-07-28 05:37:11.847382,Hamburg,Budapest,1113.695,212.4
8195,6358,9433,2022-07-27 15:43:28.455705,2022-07-28 03:25:22.76275,Hamburg,Paris,895.23004,172.38
8168,5987,2995,2022-07-26 07:20:10.645209,2022-07-26 18:49:27.825793,Hamburg,London,865.4814,163.73
8150,7185,9563,2022-07-20 20:41:39.868762,2022-07-21 00:52:50.029241,Hamburg,Berlin,306.79266,54.77
8053,4986,3745,2022-07-08 12:43:39.084559,2022-07-09 12:57:39.495173,Hamburg,Kyiv,1731.6511,325.93
8131,2528,7256,2022-07-08 12:52:33.660099,2022-07-09 00:14:17.230955,Hamburg,Paris,895.23004,166.94
8088,8302,9206,2022-07-23 04:35:06.114287,2022-07-24 05:27:26.035567,Hamburg,Saint Petersburg,1705.7284,337.45
8125,1559,1252,2022-07-28 20:13:53.121721,2022-07-29 21:33:41.277282,Hamburg,Bucharest,1857.4374,358.07
8073,3743,6559,2022-07-28 14:01:26.81832,2022-07-29 01:17:23.619027,Hamburg,Vienna,892.74927,163.17
1979,8592,3385,2022-07-01 19:06:59.996689,2022-07-02 10:20:20.665016,Hamburg,Budapest,1113.695,214.96
1354,2321,2418,2022-07-09 15:44:05.451616,2022-07-10 08:30:45.133304,Hamburg,Budapest,1113.695,203.34
8023,7897,1693,2022-07-01 16:50:43.790549,2022-07-03 00:14:04.494878,Hamburg,Istanbul,2384.919,458.38
7973,8582,1284,2022-07-17 23:18:17.247987,2022-07-18 11:53:29.869955,Hamburg,London,865.4814,162.93
7999,4133,4458,2022-07-22 08:21:52.149619,2022-07-23 12:36:51.652102,Hamburg,Moscow,2140.3328,411.13
7942,7305,5246,2022-07-15 00:32:44.705723,2022-07-15 22:56:43.261793,Hamburg,Rome,1573.508,310.35
7879,7256,7597,2022-07-20 11:38:24.215561,2022-07-21 17:50:09.265167,Hamburg,Istanbul,2384.919,430.91
7927,2166,5411,2022-07-02 15:36:26.362694,2022-07-04 05:33:33.902493,Hamburg,Ankara,2752.1785,492.81
7909,8768,2224,2022-07-25 05:26:55.739293,2022-07-26 21:19:52.122145,Hamburg,Ankara,2752.1785,536.22
7949,8722,6149,2022-07-30 05:16:57.211969,2022-07-31 06:52:38.077513,Hamburg,Saint Petersburg,1705.7284,331.02
7954,4531,7548,2022-07-01 05:12:48.15531,2022-07-02 09:00:28.205369,Hamburg,Moscow,2140.3328,386.43
7851,1577,9942,2022-07-06 02:44:39.113438,2022-07-07 04:49:12.315579,Hamburg,Barcelona,1769.4066,338.88
7816,8320,2812,2022-07-18 20:46:53.259917,2022-07-19 22:05:12.74429,Hamburg,Saint Petersburg,1705.7284,315.9
7797,9118,4008,2022-07-23 08:41:42.577744,2022-07-23 20:54:01.686516,Hamburg,Stockholm,974.03534,183.37
7821,3181,6158,2022-07-20 12:19:15.530939,2022-07-20 23:28:52.002613,Hamburg,Vienna,892.74927,169.37
921,3341,8880,2022-07-30 21:56:22.499762,2022-07-31 13:53:53.679332,Hamburg,Budapest,1113.695,200.7
9764,6367,1692,2022-07-12 07:41:57.371833,2022-07-13 05:26:54.856474,Hamburg,Rome,1573.508,291.51
9748,4908,1280,2022-07-15 13:26:08.241853,2022-07-16 09:29:19.509594,Hamburg,Rome,1573.508,296.6
9510,4206,2811,2022-07-30 17:33:11.726002,2022-07-31 16:03:17.866458,Hamburg,Rome,1573.508,281.08
8631,4868,8027,2022-07-12 17:27:57.860819,2022-07-13 15:35:48.195198,Hamburg,Rome,1573.508,281.76
8352,8489,9029,2022-07-15 16:45:32.40178,2022-07-16 12:45:17.950131,Hamburg,Rome,1573.508,288.87
7668,9180,2856,2022-07-04 19:15:46.272589,2022-07-06 02:58:48.8089,Hamburg,Istanbul,2384.919,437.06
7718,5062,3477,2022-07-15 12:16:41.93286,2022-07-16 10:52:43.466141,Hamburg,Saint Petersburg,1705.7284,305.31
7693,8222,4109,2022-07-21 02:27:35.555357,2022-07-21 06:43:16.471921,Hamburg,Berlin,306.79266,57.5
7614,7679,7417,2022-07-17 17:58:15.628019,2022-07-19 00:04:47.549772,Hamburg,Madrid,2145.1428,422.97
7642,8698,1514,2022-07-30 19:44:49.608258,2022-07-31 09:12:47.685142,Hamburg,Paris,895.23004,160.93
7593,9093,7443,2022-07-27 11:10:41.470388,2022-07-28 00:12:43.774751,Hamburg,Paris,895.23004,175.14
7625,5526,5364,2022-07-18 14:51:07.010674,2022-07-19 20:40:16.255356,Hamburg,Moscow,2140.3328,415.88
7611,6037,1063,2022-07-03 13:45:44.975561,2022-07-04 02:22:20.426781,Hamburg,Warsaw,904.4566,168.99
7582,9111,1320,2022-07-11 18:17:45.442051,2022-07-12 07:51:52.282904,Hamburg,Warsaw,904.4566,169.29
7550,6118,1576,2022-07-22 13:21:21.915311,2022-07-23 00:49:09.313303,Hamburg,London,865.4814,166.12
7512,1685,4574,2022-07-05 16:26:13.095664,2022-07-06 19:59:55.002427,Hamburg,Bucharest,1857.4374,367.75
7428,6924,1281,2022-07-02 23:34:05.954997,2022-07-04 04:06:36.403932,Hamburg,Madrid,2145.1428,391.66
7451,6991,1706,2022-07-02 01:14:03.538897,2022-07-03 07:35:32.417531,Hamburg,Moscow,2140.3328,392.31
7450,5265,5034,2022-07-06 06:06:47.731163,2022-07-07 14:04:13.437166,Hamburg,Moscow,2140.3328,401.76
7805,5471,5121,2022-07-16 03:41:32.28198,2022-07-17 01:11:39.740632,Hamburg,Rome,1573.508,298.21
7333,5322,3928,2022-07-27 23:26:58.231967,2022-07-29 16:57:24.728131,Hamburg,Ankara,2752.1785,538.59
7349,6290,4174,2022-07-16 23:39:40.012668,2022-07-17 12:19:23.393965,Hamburg,Paris,895.23004,163.68
7306,7011,3048,2022-07-28 18:59:29.901107,2022-07-29 06:24:40.987272,Hamburg,Paris,895.23004,176.3
7367,9482,9808,2022-07-24 02:18:50.238513,2022-07-25 02:20:12.652556,Hamburg,Saint Petersburg,1705.7284,315.69
7298,3252,5398,2022-07-24 03:18:17.11651,2022-07-24 15:01:19.683571,Hamburg,London,865.4814,167.76
7660,3161,7988,2022-07-04 13:48:52.201404,2022-07-05 13:19:04.471553,Hamburg,Rome,1573.508,289.93
7181,7135,9160,2022-07-17 15:18:03.367294,2022-07-18 11:26:03.66955,Hamburg,Rome,1573.508,295.48
7204,5800,5983,2022-07-10 14:53:14.618343,2022-07-12 00:50:13.572087,Hamburg,Istanbul,2384.919,433.06
7237,3415,6764,2022-07-17 12:56:44.40915,2022-07-18 01:56:39.773258,Hamburg,London,865.4814,168.25
7233,1151,9706,2022-07-26 23:31:35.328483,2022-07-27 23:52:09.540233,Hamburg,Bucharest,1857.4374,347.8
7375,2616,3931,2022-07-03 01:24:09.24721,2022-07-03 21:47:06.44872,Hamburg,Rome,1573.508,295.62
7155,1072,4703,2022-07-27 10:05:08.609751,2022-07-28 06:36:54.722094,Hamburg,Rome,1573.508,305.14
6838,2172,1446,2022-07-19 03:21:58.486608,2022-07-20 00:46:02.891439,Hamburg,Rome,1573.508,289.47
6596,2436,3530,2022-07-29 05:58:39.45127,2022-07-30 04:19:46.213605,Hamburg,Rome,1573.508,298.3
4696,9396,4017,2022-07-13 08:38:38.956262,2022-07-14 05:07:18.344877,Hamburg,Rome,1573.508,282.93
7080,9160,8085,2022-07-27 05:39:59.551828,2022-07-27 18:36:20.696626,Hamburg,Paris,895.23004,172.44
6937,8050,4515,2022-07-01 18:10:38.236299,2022-07-02 21:38:37.214629,Hamburg,Moscow,2140.3328,394.55
6925,9885,4634,2022-07-26 03:49:22.301176,2022-07-26 17:55:51.325903,Hamburg,Stockholm,974.03534,186.81
6854,9674,8797,2022-07-28 04:36:13.506957,2022-07-29 00:25:54.832738,Hamburg,Minsk,1386.1572,250.84
6797,9656,3335,2022-07-26 10:57:00.359309,2022-07-27 05:58:52.93764,Hamburg,Minsk,1386.1572,269.79
6873,7513,6877,2022-07-28 01:16:22.79976,2022-07-28 05:38:47.438802,Hamburg,Berlin,306.79266,60.58
6791,1646,8572,2022-07-04 23:43:39.16815,2022-07-06 02:32:09.198356,Hamburg,Moscow,2140.3328,411.61
6811,9052,5743,2022-07-01 03:33:17.531542,2022-07-01 16:06:08.001292,Hamburg,Stockholm,974.03534,176.01
4524,7043,3372,2022-07-12 10:06:57.2495,2022-07-13 08:59:17.349793,Hamburg,Rome,1573.508,303.68
3707,5327,9008,2022-07-02 06:18:46.721801,2022-07-03 05:09:21.930492,Hamburg,Rome,1573.508,295.29
3696,1391,2989,2022-07-17 11:08:38.938006,2022-07-18 09:50:55.194001,Hamburg,Rome,1573.508,288.24
6765,5964,9443,2022-07-10 07:24:08.517478,2022-07-11 08:46:06.29008,Hamburg,Kyiv,1731.6511,322.42
6703,1255,9473,2022-07-22 11:24:02.938777,2022-07-23 17:15:30.826512,Hamburg,Moscow,2140.3328,396.15
6694,2404,1282,2022-07-29 06:16:08.789064,2022-07-29 19:25:12.29874,Hamburg,Warsaw,904.4566,168.88
6652,7894,9028,2022-07-29 14:48:58.235786,2022-07-29 19:21:50.965908,Hamburg,Berlin,306.79266,58.79
6621,9307,5707,2022-07-03 04:31:07.80046,2022-07-03 17:36:25.209749,Hamburg,Stockholm,974.03534,191.53
6559,3319,1059,2022-07-05 05:50:27.241234,2022-07-05 17:29:34.27509,Hamburg,Vienna,892.74927,163.04
6461,6549,6510,2022-07-02 00:37:55.115538,2022-07-02 12:38:58.442977,Hamburg,Warsaw,904.4566,169.17
6447,6271,5093,2022-07-28 22:07:26.169875,2022-07-29 10:43:42.063367,Hamburg,Warsaw,904.4566,178.12
6416,1606,2351,2022-07-16 16:03:08.629367,2022-07-17 04:17:10.871807,Hamburg,Warsaw,904.4566,175.79
6314,6106,2777,2022-07-17 06:30:31.029584,2022-07-18 13:29:08.070603,Hamburg,Moscow,2140.3328,397.56
6394,3103,1504,2022-07-25 12:17:35.09242,2022-07-26 02:54:50.543685,Hamburg,Stockholm,974.03534,184.43
6319,5345,5846,2022-07-02 08:33:03.997614,2022-07-02 20:51:23.320404,Hamburg,Vienna,892.74927,167.55
6315,6200,5896,2022-07-19 14:47:55.093164,2022-07-20 03:54:28.109191,Hamburg,Vienna,892.74927,174.19
2688,3296,5384,2022-07-06 12:09:38.935366,2022-07-07 08:02:55.530136,Hamburg,Rome,1573.508,306.2
2106,2129,7359,2022-07-27 17:34:42.986401,2022-07-28 17:10:42.209753,Hamburg,Rome,1573.508,287.98
6303,2414,1826,2022-07-26 13:55:00.621337,2022-07-27 12:03:24.698129,Hamburg,Kyiv,1731.6511,335.27
6252,8829,6466,2022-07-07 13:07:03.911901,2022-07-08 14:03:09.741903,Hamburg,Kyiv,1731.6511,325.3
6231,9889,2074,2022-07-30 13:49:29.36989,2022-07-31 09:00:57.826029,Hamburg,Minsk,1386.1572,274.03
6213,1329,5337,2022-07-30 04:08:19.682518,2022-07-30 16:47:31.805377,Hamburg,Stockholm,974.03534,184.53
1405,9945,8656,2022-07-20 01:54:13.881597,2022-07-21 00:21:28.635389,Hamburg,Rome,1573.508,298.59
1238,4805,2205,2022-07-24 12:19:54.083074,2022-07-25 10:30:21.203228,Hamburg,Rome,1573.508,288.85
1148,5178,1394,2022-07-29 20:11:52.682621,2022-07-30 17:18:58.743093,Hamburg,Rome,1573.508,284.16
6153,1052,5293,2022-07-29 08:17:01.556713,2022-07-30 06:07:42.012054,Hamburg,Saint Petersburg,1705.7284,337.06
6203,7405,4819,2022-07-02 08:15:21.127491,2022-07-02 19:50:08.256305,Hamburg,London,865.4814,170.42
6196,6312,2436,2022-07-23 12:56:58.51226,2022-07-23 17:11:06.981694,Hamburg,Berlin,306.79266,55.2
6190,5123,5307,2022-07-30 15:36:33.915386,2022-07-31 19:30:30.436241,Hamburg,Moscow,2140.3328,395.01
6204,3251,1132,2022-07-23 01:47:34.103147,2022-07-23 13:37:22.63601,Hamburg,Warsaw,904.4566,171.55
1106,6143,8642,2022-07-08 02:57:59.834326,2022-07-09 01:40:05.376137,Hamburg,Rome,1573.508,308.73
544,7277,9566,2022-07-09 00:38:08.361505,2022-07-09 22:26:34.807682,Hamburg,Rome,1573.508,286.23
464,8027,5967,2022-07-05 14:52:14.859457,2022-07-06 13:33:06.24178,Hamburg,Rome,1573.508,283.02
8920,5875,4925,2022-07-27 04:00:04.551646,2022-07-28 04:00:31.403264,Hamburg,Kyiv,1731.6511,317.75
6100,5331,1895,2022-07-30 11:01:04.720008,2022-07-31 10:20:51.221439,Hamburg,Barcelona,1769.4066,326.85
6018,4125,4434,2022-07-13 03:05:42.585531,2022-07-14 19:14:28.408253,Hamburg,Ankara,2752.1785,522.56
6030,6127,3819,2022-07-19 21:22:09.905339,2022-07-20 10:00:08.346706,Hamburg,Paris,895.23004,173.43
8688,6511,7498,2022-07-19 19:57:58.922458,2022-07-20 21:40:11.200964,Hamburg,Kyiv,1731.6511,325.49
8374,1290,5759,2022-07-30 21:23:37.462887,2022-07-31 22:58:28.707144,Hamburg,Kyiv,1731.6511,336.15
5888,9940,9184,2022-07-21 05:05:38.698731,2022-07-22 04:26:32.398083,Hamburg,Kyiv,1731.6511,309.29
5179,8264,1455,2022-07-01 07:29:49.388,2022-07-02 06:54:53.844216,Hamburg,Kyiv,1731.6511,317.33
4960,9951,3179,2022-07-19 16:11:46.440297,2022-07-20 18:14:37.487577,Hamburg,Kyiv,1731.6511,330.3
5926,7504,3447,2022-07-11 19:40:25.723408,2022-07-12 18:15:59.704794,Hamburg,Barcelona,1769.4066,324.9
5925,2070,5902,2022-07-26 11:58:08.964267,2022-07-27 18:43:12.657908,Hamburg,Moscow,2140.3328,385.76
5968,2348,9501,2022-07-01 22:58:10.484849,2022-07-02 10:54:59.347227,Hamburg,Vienna,892.74927,176.33
5759,5174,4312,2022-07-05 23:05:26.615821,2022-07-07 00:21:41.30199,Hamburg,Barcelona,1769.4066,339.09
5796,7914,3618,2022-07-03 07:09:07.969005,2022-07-03 11:20:03.879796,Hamburg,Berlin,306.79266,58.4
5787,9987,6357,2022-07-19 08:47:42.81665,2022-07-20 15:12:46.725871,Hamburg,Moscow,2140.3328,384.58
5808,9271,9903,2022-07-03 03:41:13.319033,2022-07-03 17:16:48.946773,Hamburg,Warsaw,904.4566,165.28
4456,2408,4626,2022-07-17 09:43:54.574781,2022-07-18 09:21:51.098307,Hamburg,Kyiv,1731.6511,329.99
4356,6250,1892,2022-07-12 03:10:10.453399,2022-07-13 03:25:25.308579,Hamburg,Kyiv,1731.6511,317.19
4188,6475,7875,2022-07-24 07:21:02.915975,2022-07-25 08:38:31.026149,Hamburg,Kyiv,1731.6511,339.74
4028,1321,5208,2022-07-22 11:34:03.452517,2022-07-23 09:30:06.045937,Hamburg,Kyiv,1731.6511,328.53
5665,9642,4846,2022-07-10 06:55:30.648859,2022-07-11 10:07:59.626154,Hamburg,Bucharest,1857.4374,360
5660,4696,6452,2022-07-10 18:11:35.001675,2022-07-10 22:18:53.668672,Hamburg,Berlin,306.79266,60.66
5678,1884,9908,2022-07-11 15:33:18.822157,2022-07-12 04:50:38.310206,Hamburg,Stockholm,974.03534,190.11
5560,2859,8185,2022-07-19 04:02:05.042417,2022-07-20 12:07:50.618398,Hamburg,Istanbul,2384.919,462.73
5567,5588,5694,2022-07-19 19:13:44.684607,2022-07-21 08:42:45.598392,Hamburg,Ankara,2752.1785,522.67
5593,7344,4538,2022-07-30 03:55:14.788831,2022-07-31 06:43:49.483056,Hamburg,Bucharest,1857.4374,347.8
5548,3348,1182,2022-07-25 20:39:00.214097,2022-07-26 10:01:41.273233,Hamburg,Warsaw,904.4566,170.27
5482,1405,2425,2022-07-13 11:23:20.107864,2022-07-14 11:00:33.345586,Hamburg,Barcelona,1769.4066,339.92
5493,8480,9297,2022-07-03 04:05:23.653977,2022-07-04 11:57:28.78491,Hamburg,Moscow,2140.3328,389.07
2991,3948,4559,2022-07-07 05:50:48.685543,2022-07-08 03:57:53.870456,Hamburg,Kyiv,1731.6511,331.59
